ateneo_id,score,cognome_rubrica,nome_completo_rubrica,display_name_openalex,author_id_openalex,orcid
https://openalex.org/I93860229,100.00,BIANCHI Alessandro,BIANCHI Alessandro,Alessandro Bianchi,https://openalex.org/A5068723685,https://orcid.org/0000-0002-4571-0511
https://openalex.org/I93860229,100.00,BIANCHI Anna Maria,BIANCHI Anna Maria,Anna Maria Bianchi,https://openalex.org/A5073440301,https://orcid.org/0000-0002-8290-7460
https://openalex.org/I93860229,100.00,BIANCHI Elena,BIANCHI Elena,Elena Bianchi,https://openalex.org/A5034686427,https://orcid.org/0000-0003-1003-4178
https://openalex.org/I93860229,100.00,BIANCHI Giovanni,BIANCHI Giovanni,Giovanni Bianchi,https://openalex.org/A5106858149,
https://openalex.org/I93860229,100.00,BIANCHI Irene,BIANCHI Irene,Irene Bianchi,https://openalex.org/A5041181627,https://orcid.org/0000-0002-3907-7246
https://openalex.org/I93860229,100.00,BIANCHI Leonardo,BIANCHI Leonardo,Leonardo Bianchi,https://openalex.org/A5012178255,https://orcid.org/0000-0001-6100-0862
https://openalex.org/I93860229,100.00,BIANCHINI Massimo,BIANCHINI Massimo,Massimo Bianchini,https://openalex.org/A5028342021,https://orcid.org/0000-0003-1438-4976
https://openalex.org/I93860229,100.00,BINOTTI Marco,BINOTTI Marco,Marco Binotti,https://openalex.org/A5075041859,https://orcid.org/0000-0002-2535-7589
https://openalex.org/I93860229,100.00,BIONDA Arianna,BIONDA Arianna,Arianna Bionda,https://openalex.org/A5061748914,https://orcid.org/0000-0001-9116-3208
https://openalex.org/I93860229,100.00,BIONDINI Fabio,BIONDINI Fabio,Fabio Biondini,https://openalex.org/A5016927886,https://orcid.org/0000-0003-1142-6261
https://openalex.org/I93860229,100.00,BIRAGHI Marco Stefano,BIRAGHI Marco Stefano,C. A. Biraghi,https://openalex.org/A5059719509,
https://openalex.org/I93860229,100.00,BISAGNI Chiara,BISAGNI Chiara,Chiara Bisagni,https://openalex.org/A5034617842,https://orcid.org/0000-0002-8713-9763
https://openalex.org/I93860229,100.00,BISCARI Paolo,BISCARI Paolo,Paolo Biscari,https://openalex.org/A5069257948,https://orcid.org/0000-0001-9299-6340
https://openalex.org/I93860229,100.00,BISOFFI Andrea,BISOFFI Andrea,Andrea Bisoffi,https://openalex.org/A5058794263,https://orcid.org/0000-0001-5495-4481
https://openalex.org/I93860229,100.00,BISSON Mario,BISSON Mario,Mario Bisson Bisson,https://openalex.org/A5104209476,
https://openalex.org/I93860229,100.00,BIZZARRI Federico,BIZZARRI Federico,Federico Bizzarri,https://openalex.org/A5086093589,https://orcid.org/0000-0002-6568-6491
https://openalex.org/I93860229,100.00,BOCCHIOLA Daniele,BOCCHIOLA Daniele,Daniele Bocchiola,https://openalex.org/A5060415775,https://orcid.org/0000-0001-8493-0894
https://openalex.org/I93860229,100.00,BOCCIARELLI Massimiliano,BOCCIARELLI Massimiliano,Massimiliano Bocciarelli,https://openalex.org/A5062596397,https://orcid.org/0000-0002-3851-0466
https://openalex.org/I93860229,100.00,BOFFADOSSI Maurizio,BOFFADOSSI Maurizio,Maurizio Boffadossi,https://openalex.org/A5076083012,https://orcid.org/0000-0002-1746-259X
https://openalex.org/I93860229,100.00,BOFFI Pierpaolo,BOFFI Pierpaolo,Pierpaolo Boffi,https://openalex.org/A5058681347,https://orcid.org/0000-0002-7480-9772
https://openalex.org/I93860229,100.00,BOLCHINI Cristiana,BOLCHINI Cristiana,Cristiana Bolchini,https://openalex.org/A5014159983,https://orcid.org/0000-0001-5065-7906
https://openalex.org/I93860229,100.00,BOLICI Roberto,BOLICI Roberto,Roberto Bolici,https://openalex.org/A5024633643,
https://openalex.org/I93860229,100.00,BOLLATI Ilaria,BOLLATI Ilaria,Ilaria Bollati,https://openalex.org/A5000095362,
https://openalex.org/I93860229,100.00,BOLOGNESI Cecilia Maria,BOLOGNESI Cecilia Maria,Cecilia Maria Bolognesi,https://openalex.org/A5069752416,https://orcid.org/0000-0002-7204-8391
https://openalex.org/I93860229,100.00,BOLZAN Patrizia,BOLZAN Patrizia,Patrizia Bolzan,https://openalex.org/A5045731581,https://orcid.org/0000-0002-2713-3431
https://openalex.org/I93860229,100.00,BOLZON Gabriella,BOLZON Gabriella,Gabriella Bolzon,https://openalex.org/A5039836815,https://orcid.org/0000-0002-7783-9774
